	drugName	condition	review	rating	date	usefulCount
11649	Trulicity	"Diabetes, Type 2"	"""My doctor gave me the injection in his office.  I take no other meds for my diabetes (type 2).  A1C was around 10, triglycerides were 3000, cholesterol was 541.  I also have acute pancreatitis, and later read this med was not good for this pre-existing condition.  That night after the shot, I became ill, lower back pains, an extreme full feeling in my tummy, nausea, and dizziness.  He also prescribed tricore to get my triglycerides down.  I have been sloppy with my diet, and I know what I need to do to change my eating. I honestly can say, after reading other reviews, that this drug scares me, and I wont be buying more.  629 drug interactions I read about on another site and me being fatigued and in a fog for three days, I say no more."""	2	23-Jul-17	13
49397	Ethinyl estradiol / levonorgestrel	Birth Control	"""I was taking this bc pill for a couple of years. This last month I have bled heavily for 3 weeks straight. It worked great for a long time so I&#039;m not sure what happened but now I will be changing to a different birth control."""	2	5-Jan-16	4
34808	Minocycline	Rosacea	"""I have used this medication successfully for years. Initially I used it daily for a few weeks, then tapered down to 3 times a weeks, then only 3 days in a row for flare ups. I haven&#039;t used any for 3 years until just recently when I had a flare up. After one dose the redness decreased and no new pustules. The only side effect has been yeast infection when I take higher doses, i.e., twice a day for 5-7 days, but I have not found that I need to do that. I can usually take 50 mg, once a day for 3 days, then I take a dose every other day for 3 days. By then the pustules have resolved and no yeast infection."""	10	21-Jan-13	47
191183	Miconazole / zinc oxide	Diaper Rash	"""It worked after some time"""	10	30-Mar-15	0
71285	Levora	Abnormal Uterine Bleeding	"""I went on this pill to help control my insane periods and help with my acne. I&#039;m quite young, and my periods would last from 7-10 days. my periods would be so bad that I would throw up, not be able to walk, and faint. So I decided to go on birth control to lighten my periods. my doctor told me to skip the placebo pills every month for 4 months. after the fourth month I got my period, and it made the cramping and blood flow EVEN WORSE! I also went on it to help with acne, and I can say that it has possibly made my acne worse. before going on the pill I rarely got large, hard pimples on my cheeks, and now thats a regular occurrence. if you&#039;re like me, I wouldn&#039;t recommend this pill!!"""	3	15-Jun-16	5
43664	LoSeasonique	Endometriosis	"""I am on my 5th week of Loseasonique. I read the reviews beforehand, but decided to give it a shot since I never had any problems with other pills (LoEstren and Ortho TriCyclen) back in the day.  Unfortunately, the bad reviews were right (for me).  I had a little bit of spotting for a few days around week 2, but nothing I couldn&#039;t handle. By week 4, I started spotting, and have continually spotted now going on 2 weeks, now with cramps. It&#039;s not super light spotting either. I do have to wear a panty liner every single day, and of course I don&#039;t want to have sex with my hubby either.  I think I will stick it out through the first 3 month pack, but I will be more than likely try something else next round."""	6	31-Mar-11	2
117161	Synvisc-One	Osteoarthritis	"""Had shot....shot was nothing...but 48 hrs. later I can barely stand the pain...elevating, ice, ibuprofen....but boy oh boy it hurts BAD. Gave birth to 3 children...one being breech....and swear this pain is worse.....I am hoping to be better soon....with this experience think I will not repeat this adventure. Do not think a knee replacement could be any worse than what I am going through right now!"""	1	19-Mar-16	48
97941	Nexplanon	Birth Control	"""I had my implant inverted Sept 2013 so I&#039;ve had it just a couple days over two years. I&#039;ve experienced very infrequent periods (I never had one until about 11 months after the insertion) but when I have them they&#039;re like normal flow, but oh the pain! Doubled over with cramps I can&#039;t even get out of bed. Thankfully this only happens every few months and it only lasts about an hour or so. 
I&#039;ve gained a lot of weight after having the implant (maybe I&#039;m just looking for something to blame lol) but I&#039;ve managed to loose some by exercising but I am no where near the weight I once was. 
I definitely recommend the implant insertion is so easy and quick! And you don&#039;t even notice it in your arm until you feel for it."""	8	21-Sep-15	2
209481	Zubsolv	Opiate Dependence	"""I was on suboxone strips which was working great for over a year then new insurance put me on zubsolv and the body aches started, constant yawning, then diarrhea. Feels like withdrawals all over again it is miserable and it hurting me at work always tired. Now I pay $650 for my suboxone a month out of my pocket cause insurance covers only some rubbish placebo. Do not recommend can put you back to square one."""	1	28-Jun-17	9
127979	Phentermine	Weight Loss	"""Took my first dose this morning! I&#039;m feeling super good about phen. I&#039;m hoping to lose 60lbs. I&#039;m 5&#039;10 and 227lbs!"""	7	18-Oct-16	5
50771	Gabapentin	Pain	"""I have had several doctors perscribe Neurontin for pain. I&#039;ve got degenerative spinal disease with herniation. I also take Tramadol(pain)and Prozac for the depression(side-effect). It&#039;s a shame that the FDA hasn&#039;t passed it for other ailments because it really helps."""	8	17-Sep-08	38
86832	Midazolam		"""Midazolam (a/k/a Versed) has NO pain relieving properties.  It&#039;s given--generally without patient consent--because it reduces anxiety, makes patients compliant/obedient to orders, &amp; causes memory loss (same effects as Rohypnol, date rape drug--they are both benzodiazepines).  Great if that&#039;s what you want &amp; your doc has discussed this with you beforehand.  However, there are many people who have been given Versed without their consent &amp; who have been very upset about the memory loss (see VersedBusters, nomidazolam, etc.--an internet search for side effects of Versed or midazolam will yield a lot of hits).  For both surgeries I had no anxiety yet was given Versed without my consent.  I question why an amnesiac drug is administered when a"""	1	15-Sep-15	14
179717	Adapalene / benzoyl peroxide	Acne	"""Epiduo is the only thing that has worked for me. I had pretty bad acne for two years in highschool. I tried lots of things (proactive) but finally After begging my mom finally purchased epiduo and it was a life saver. For the first month and a half it really dried out my skin and didn&#039;t seem to help much at all, but soon after that I saw a complete transformation in my skin. I no longer have acne like I used to, to this day. But even the weeks that I&#039;ve eaten terribly and slept in my makeup all week (I know I need to stop this). My &quot;acne&quot; is only a few very small pimples that are hardly red. All my friends love it too! Highly recommend this"""	10	1-May-16	10
161774	Remeron	Anxiety	"""Remeron helps my depression, sleeplessness, and anxiety. All 3 in 1. I love it!"""	10	5-Jun-09	191
227610	Etonogestrel	Birth Control	"""I have had bad acne and some long periods like 2 months at most during the first year but now I&#039;m starting on year 2 and the bleeding has gone to normal and well the acne I control it with tea tree oil. Yes you get discouraged with the bleeding and the bad acne but just have patience and it will go away. The reason I chose this was because I have already tried the Depo and I felt bad that I worked out so many times and I couldn&#039;t lose weight and with this I can work out and see the weight coming off. Give it a try but have patience."""	8	4-Jun-12	1
148768	Mirena	Abnormal Uterine Bleeding	"""I&#039;ve had mirena for a month now, other than the off and on bleeding I&#039;ve experienced no crazy hormonal changes or weight gain. I was worried to start a birth control with heavy hormones because everything I&#039;ve tried when I was younger really packed on the pounds. After giving birth to my little one I decided mirena was the right choice for me. I&#039;m super happy so far with my choice although I can&#039;t wait for the constant bleeding to stop but I know it will with time. I also felt nothing with the insertion process but I think it&#039;s because I recently had a baby."""	8	29-May-16	8
212097	Lamotrigine	Bipolar Disorde	"""Decreased urine output and extreme difficulty urinating."""	5	24-Feb-14	12
177353	Duloxetine	Major Depressive Disorde	"""Have been on multiple antidepressants in my lifetime, all were duds. They caused weight gain, fluctuating moods, extreme sadness. My doctor has recently prescribed me 20mg of Cymbalta, after 2 weeks I will switch to 40mg, 20mg in the morning and 20mg in the evening. After reading reviews online I am hopeful, as everyone has reviewed it mainly positive. Currently after being on it for 5 days I am experiencing MAJOR nausea. I can barely breathe without wanting to throw up everywhere. Thankfully, a coworker has given me &quot;phenergan&quot;, which is used for nausea, but it is a prescription pill. I called my doctor and explained that this has helped, and she refused putting me on another prescription just to treat the side effects of Cymbalta. SOS!"""	5	10-Jan-17	10
163863	Mirtazapine	Depression	"""I tried a whole other whack of anti-depressants before trying Remeron and nothing. I mean, nothing worked for me. In fact, other anti-depressants made me more depressed. I mean seriously deeply darkly depressed but not Remeron. Remeron, honestly, is a dream medicine for me. It has improved my cat allergies by 80%, my sleep by 90% and my mood by 80%. It&#039;s amazing. However, it&#039;s true what they say about the munchies. I have to tell myself, almost nightly, that no, I don&#039;t need to get up and make a stack of pancakes at 11 pm. I have dreams about food, chocolate, donuts. It&#039;s pretty funny. The other side effect is my hands are swollen (edema), that side effect I&#039;m not liking but we&#039;ll see how it goes. I&#039;ve been on it for 2 months now."""	9	6-Oct-10	65
96267	Sertraline	Anxiety and Stress	"""I&#039;ve been taking Zoloft 100mg for about 6 months now, it really has changed my life. Before medication, I wasn&#039;t leaving the house, had very little social contact and my anxiety was through the roof. Zoloft has been amazing for me, my mood has improved and I&#039;m getting out of the house and keeping in touch with friends and family. I still have my bad days and also feel groggy most mornings but other than that I&#039;ve had great results while taking Zoloft."""	10	8-Apr-11	35
65496	Yasmin	Birth Control	"""I&#039;ve been on Yasmin for about a year now. I was on Ortho-Tri for a few years prior to that, and Nordette (another birth control pill) a few years prior to that one. Because I&#039;ve been on a pill for so long, my body didn&#039;t need much adjusting to Yasmin, nor did I notice any HUGE side effects. Although, after reading some reviews, I have noticed that I feel more sensitive emotionally now since being on Yasmin, I don&#039;t feel like I get mood swings per say where I&#039;m mad, more like its easier for me to cry for something I normally wouldn&#039;t have cried so easily before. Also, I&#039;ve noticed more frequent migraine headaches, and my hair is thinner but despite this, I think its still the best one for me out there. They all have pros, cons, and risks!"""	8	4-May-10	6
199289	Depo-Provera	Birth Control	"""Do not use. It did not work as an effective birth control. Was successfully on the pill for 5 tears got pregnate on the shot."""	1	14-Sep-15	1
131123	Levonorgestrel	Abnormal Uterine Bleeding	"""I had the Mirena inserted in April 08 to control heavy bleeding from Adenomyosis. My doctor had recommended it 2 years prior and I balked at getting it because of &quot;horror&quot; stories I read. Now I wish I had given it a try when she first recommended it. It has been great. I had some light spotting the first 2 months, then no period for a couple months. Had a very light period in February. It has changed my life. I have put on some additional weight, approx 8 pounds since I had it put in but I already was struggling with weight so don&#039;t know if it is from that or from middle age. Working on that now with exercise and diet. I am very happy with it. I have my life back each month instead of being afraid to leave the house because of heavy bleeding."""	9	11-Mar-09	34
57383	Oxymorphone	Pain	"""Opana ER is the 1st ER medication that I&#039;ve tried that actually works for an extended period of time. And I&#039;ve had to try many for my severe back and neck injuries. One 20mg pill will last at least 8 hrs, and I work long 16 hr days so that&#039;s a very good thing. I highly recommend it for people with severe problems/injuries. I definitely wouldn&#039;t recommend it for just mild to moderate pain problems or acute problems. Most ideal for people with chronic severe injuries who also work a lot."""	10	21-Feb-11	17
226642	Etonogestrel	Birth Control	"""I got the implant because it seemed logical choice for a fast paced lifestyle where you can&#039;t remember everything. So I switched to it, the insertion was a little painful but healed quickly. I had no serious effects except acne really bad the first few weeks. Then about a month in I started my period on it and had chest pain and numbness in my right arm so I got it removed. And learned I have nerve damage from it. Would I recommend this to someone else no, it still has some kinks to be worked out. But everyone is different I wish I never would have gotten it."""	2	30-Apr-15	1
45315	Fluoxetine	Premenstrual Dysphoric Disorde	"""I am me again my premenstual Dysphoric disorder was destroying my relationship with others and with myself. For a week to two weeks a month I had severe depression, anxiety, suicidal thoughts and interpreted others actions as hostile. I would feel at times like breaking up with my boyfriend leaving my family and job and saying f u to life. This is the second time I have taken fluoxetine over long periods of time. Last time I stopped cold turkey (many years ago) thinking I was cured of my PDD. However over the years it worsened until I lived in fear of it. Now I really see understand and feel grateful for the effects of fluox. I feel I am clear, in control, calm and me again.  It has improved my relationship with everyone. The side effect -breast growth! WIN!!!!!"""	9	27-Aug-15	60
69258	Celebrex	Juvenile Rheumatoid Arthritis	"""At 17 years old I have finally seen a rheumatologist. I got, a shot of corticosteroid which immediately made my knee and back feel 100% better. And a starter pack with 12 Celebrex samples. The celebrex didn&#039;t cause any noticeable side effects and the pain eased. I finally have my own prescription of Celebrex. I take it every now and then if the pain is not bearable. But I like to just ride out with no medication because I&#039;m used to the flare ups. I feel weird about taking Celebrex everyday because it is a black box drug; I&#039;m too young to start damaging my liver. All in all; Celebrex works when you need it."""	8	5-Jul-15	16
73143	Ethinyl estradiol / norethindrone	Birth Control	"""I have been taking for four months. Have not had a period the entire time. No other side effects. Im not concerned im pregnant, so have not taken any tests. I have two children and am not experiencing any pregnancy symptoms. A back up method was used for the first three months"""	10	10-Dec-14	18
169834	Aspirin / butalbital / caffeine	Headache	"""Fiorinal is the ONLY pain medicine that will help my headache to any degree of satisfaction.  Thanking God for it."""	10	27-Aug-09	22
86519	Invokana	"Diabetes, Type 2"	"""I started Invokana three months ago after an A1C of 12. I was nervous but wanted to try it. I luckily didn&#039;t have the side effect most have  yeast infections. Strange because I&#039;m very prone to them. I did develop a rash, which still comes &amp; goes. Not horrible though- I use a prescription cream, if needed. My A1C after 3 months on Invokana: 6.7! Still high, I know but huge decrease from 12. I also have lost 40 lbs! I take it with Metformin &amp; Glipozide. I also am following low carb diet- most days. But, prior to Invokana, my sugar levels were high w/Metformin &amp; Glipozide &amp; very low carb diet. So, for me it&#039;s working. Hoping to get closer to 6 in next 3 months - then under 6 by a year. 
Plus, so far it&#039;s been FREE! Big time plus."""	9	26-Dec-15	49
185878	Desvenlafaxine	Depression	"""This drug made me feel as if I was always running out of time, as if I couldn&#039;t stop and enjoy anything. I felt down most of the time on it; not significantly so but enough to make want to quit it."""	3	30-Oct-17	6
151344	Chantix	Smoking Cessation	"""Hey all you people having bad dreams I have a suggestion. Take a 5mg Melatonin. That&#039;s what I do and haven&#039;t had a bad dream yet."""	8	1-May-17	17
20207	Macrobid	Urinary Tract Infection	"""On first day severe nausea headache and vomiting. Couldn&#039;t get out of bed and had to stop taking."""	1	2-Apr-15	37
50956	Azithromycin	Chlamydia Infection	"""I had to confirm pregnancy at the doctors, and decided to get an STD test. I&#039;m not only pregnant, but also have chlamydia. I took 2 500mg about an hour before work. I&#039;m a server at a fine dining restaurant, started to not feel too hot when I got there. About an hour into the shift I&#039;m already nauseous and I get a table. By the time I&#039;ve got their order in I&#039;m in a cold sweat and experiencing a lot of stomach pain. In the 5 worst stomach pains I&#039;ve ever had, and I was diagnosed with celiac when I was 20. I&#039;ve had this before. So I go to the bathroom and lo and behold it was the worst kind of diarrhea. Which continued after I was sent home. I learned my lesson about not researching things before I take them."""	7	18-Dec-16	3
32051	Wellbutrin XL	Depression	"""Update: checking in on week 5 at 300mg of generic XL made by Par Pharmacuticals. 
I can&#039;t say enough positive things about this medicine. I have had practically no bad side effects except a slightly more noticible &#039;ringing&#039; in my ears. It is not bothersome and I only notice it it complete silence. On the plus side is virtually a new outlook on life, absence of any sad or hopeless feelings, reduced anxiety, tons of all day energy, focus, and enthusiasm, increased libido, desired weight loss and a shift in personality. I feel like I did when I was younger and full of hope, plans, and happy to greet the day. My jobs are more fulfilling, relationships improved, confidence restored. People notice! I had no idea I was that depressed. Amazing!"""	10	21-May-15	144
13027	Vardenafil	Erectile Dysfunction	"""I&#039;m 37 and my doctor advised me to take 1/4 of a 20 mg pill and the results were....nothing the first time. I took it on an empty stomach as advised. I tried 1/2 of a pill a week later two hours after I ate and the results were....nothing once again. I&#039;m going to take the whole 20mg next week.  """	1	13-Jun-11	28
89055	Singulair	"Asthma, Maintenance"	"""I&#039;ve been stepping up and up since I was diagnosed with asthma. First it was just Ventolin, then we added Clenil Modulite, then Seretide 50/25 at Christmas, up to Seretide 125/25 a few weeks later, adding in Avamys nasal spray for hayfever and Acrivastine for hayfever and Type 1 latex allergy, then finally adding on Montelukast.

Sadly, unlike some of the other people on here, I haven&#039;t been able to get down to just Montelukast. However, I&#039;d say it&#039;s a miracle pill! I play ice hockey and overnight I went from tight chest and coughing and wheezing after hockey (I have CVA so wheezing is weird) to being totally fine. I still struggle if I max out, so I have to change out regularly but I play forward so that&#039;s easy enough. 

It&#039;s just great!!!"""	10	23-Jul-15	34
167129	Levonorgestrel	Birth Control	"""I had the skyla put in after the doctors took me off of the pill after 5 yrs due to hemorrhaging. The first 3-4 months i didnt get my period and when i did it was light spotting for a few days. The strings sometimes poked my boyfriend during sex and once in a while hurt me. After about 6-7 months my period would come 2 weeks later and i would bleed for 2+ weeks. From the beginning i got excruciating cramps (when i was supposed to get my period) where i would have to stay home from work/school and stay in bed. Nothing helped with the cramps, so i decided to get it removed."""	4	4-Jun-16	2
82078	Liraglutide	Weight Loss	"""I started with victoza in feb  for diabetes. It made an amazing difference in my sugar numbers. I also cut out 95 percent of sugars i was (over)eating.  Between the two  I&#039;ve lost 50 pounds in about 4 months. (i cut out sugar in january)  Ive had some stomach upset which comes across as a mix of feeling full and cramps. Nothing too bad and honestly worth it considering the results. MY a1c is now 5.5 from  10 when i started.
The thing i like the most is my appetite is gone.  I am 45 years old and i&#039;ve never not felt hungry.  I&#039;ve always wanted to eat and did eat with out realizing how much I consumed.  Many times the sight and taste of food turns me off now which is actually nice. Sounds weird but I know there are those who will understand."""	10	29-Apr-16	18
222694	Topamax	Obesity	"""After getting a blistering skin rash from Lamictal, Topamax was prescribed.  It did decrease my appetite- I went from 209 lbs back to my regular 135 which I hadn&#039;t been in 7 years. This took place in about 10 months.  At abt the same time I started taking it, I was rearended and suffered a MTBI and scored very low on my neuropsych exam. My old psychiatrist retired and the new psychiatrist is against Topamax bc of the &quot;foggy&quot; side effects that are common.  Now, a little over a year later, I feel ok abt this med considering the alternatives- wish there were better alternatives!"""	9	10-May-16	58
215348	Senna	Constipation	"""Ok, I&#039;m gonna give you advise if you have never taken this medicine before, make sure you have the next day off. Don&#039;t try to take this med before bed, thinking you&#039;ll have one go at the toilet and your ready to go. Second I would try changing your diet, an enema or even miralax before considering this med. I was having stomach pain and had an xray of my stomach and my Dr showed me how stopped up I was, it&#039;s amazing how much the body can hold. Anyway I say all this because it does clean u out but yes your cramps are close to something like food poisoning cramps, because it&#039;s forcing ur body to do something it can&#039;t effectively do on its own. I hope this helps."""	7	11-Oct-17	2
10052	Lo Loestrin Fe	Birth Control	"""For a little over a year I have been on Lo Loestrin Fe. It&#039;s great, after the first month no more cyst symptoms, my period which has been heavy (Super tampon had to be changed every 2 hours or flooding would occur) is now down to extreme lite spotting on the last 2 pills only. It&#039;s great, I love it. No more tampons or the resulting cramping. I do not have any period symptoms at all now except a hair trigger temper on the last 2 pills (which coincides with my weekend, so I let my family know not to bother me). After a year this has calmed down though to where its almost not noticeable anymore. There are so many pros to this medicine that having a bad temper for 2 days a month is definitely worth it. But it is expensive."""	10	29-Jul-13	28
150088	Denavir	Cold Sores	"""Best medicine ever!! Have been using it for years...tried everything else. Went to pick up my RX today...Cost $757.00, my insurance wont pay for it anymore. This is crazy!"""	10	10-Mar-16	9
228513	Geodon	Schizophrenia	"""My doctor changed my drug regimen from abilify to Geodon(120 mg  Then I started experiencing trouble swallowing and headaches. These effects were transient so the doctor asked me to stay on the drug. The condition became worse and I went to an ear, throat, nose doctor. They indicated that I was suffering from GERD and inflammation of the larynx. After a few more weeks I was becoming paranoid and experiencing OCD symtoms. My husband called the doctor and demanded she shift back to abilify. A couple days later all the aforementioned symtoms disappeared. I am sure the drug works for many people but please pay close attention to the side effects I described"""	1	18-Jan-16	9
163528	Mirtazapine	Depression	"""Took for the first time last night slept perfect. Did wake up groggy for the first 2 hours, small price to pay. I have been on over ten different meds and this by far works wonders."""	10	8-Apr-15	80
70042	D.H.E. 45	Migraine	"""I had several days of DHE IV&#039;s, a good try of migraines. A few weeks of injectable DHE and it didn&#039;t do a thing for me.  I wish it worked for my constant headache.  I heard a lot of good things about it."""	1	9-Sep-11	3
217292	Clarithromycin	Otitis Media	"""I have been on clarithromycin for 2 days. The first day I took the medication I experienced voracious hunger pains to where I had to eat a snack ever 30 mins to an hour. The next morning the hunger pains returned; thankfully I had brought a variety of snacks to work, or else I would have been in trouble. Terrible anxiety; I am not sure if it has exacerbated an already existing anxiety disorder or if I am nervous about being on the medicine. I am awake now in the middle of the night because of a irresistible cough. I am wondering if this is allergies or a side effect of the medicine. This is a horrible antibiotic and I am just praying I don&#039;t get the metallic taste in my mouth or the nightmares."""	4	3-Jun-16	8
224803	Bupropion	Depression	"""Hi all, 
I am a 41 female and I have been struggling with depression and a little anxiety for about six years so I decided to seek counselling and medication. I have never been on any type of psych medication before so I researched online and decided to ask my Dr for wellbutrin.  He prescribed me 75 mg, twice a day. All I can say is Wow! Within an hour of taking it, I feel amazing with more energy than I normally have. I&#039;m on day four now and I believe it&#039;s helping some with depression already. I take benadryl at night to help with insomnia. I&#039;ve had no other adverse effects. It has not decreased my appetite. I also haven&#039;t noticed any changes, good or bad, with  libido. So far, so good. I&#039;ll repost in a month for another update. Good luck!"""	9	6-Feb-17	19
125344	Dulcolax	Constipation	"""I have used the Dulcolax pink a few times now, and even though it says it gentle, my tummy cramps so bad! It&#039;s just awful when I have to use a laxative. I drink plenty of water so that isn&#039;t the problem. Hopefully I will find a laxative that truly is gentle."""	4	13-Feb-16	6
47674	Tapentadol	Pain	"""When everything else stopped working this did the trick. I can live again without being in pain."""	10	27-Aug-11	2
72935	Ethinyl estradiol / norethindrone	Birth Control	"""I&#039;m on Mylans generic version of Generess Fe and so far its been okay. I&#039;ve been on 4 different birth controls in the past year and a half and I was put on this one to try to eliminate a cyst I&#039;ve had since November. While I can say the cyst pain had gone away I have now noticed that I get extremely nauseous on this pill. I&#039;m sure it&#039;s just my body adjusting but I feel terrible. I take the pill at 9 every night so I think I have to make sure that I don&#039;t have an empty stomach when I take it. This pill has also made me break out a bit but hopefully that will go away in the next few months."""	7	31-May-15	2
103499	Synthroid	"Hypothyroidism, After Thyroid Removal"	"""I had my thyroid removed about 2 years ago. I weighed about 190.  I was put on 125 mcg Synthroid right after the surgery.  I lost about 20 pounds without trying at all.  My dosage was increased to 175 mcg.  I then started gaining weight.  My endocrinologist  increased my dosage to 200 mcg.  My weight went up to 224 lbs.  Never weighed so much before.  I&#039;ve been told by a couple of other doctors that the higher doses of Synthroid should cause weight loss, not gain.  I am 72 years old.  In general, I have aches and pains, something wrong every day.  Don&#039;t know if that&#039;s Synthroid related or not.  But I am very uncomfortable with all this weight, just doing everyday things."""	3	12-Apr-16	41
230473	Depo-Provera	Abnormal Uterine Bleeding	"""I&#039;m 18 years old. I never been on any other birth control but the 3 months on Depo-Provera...I bled for 2 months as well as depression. I was PMSing the full 2 months. Caused problems in my relationship because of it. """	1	30-May-13	101
14041	Beclomethasone	"Asthma, Maintenance"	"""Initially my breathing improved but within a few weeks the improvement disappeared.  Within a month I was having major side effects including fatigue and headaches.  My kidney function decreased markedly.  It took weeks after stopping Qvar to recover from the experience."""	1	5-Dec-14	17
151413	Chantix	Smoking Cessation	"""I am currently on my second week of this medication and have noticed a decrease in the urge to smoke. I was a pack and a half a day smoker for 25 years and I am down to a half a pack. This is huge for me. I am totally set on quitting and I believe that this drug is going to kick my habit! Will update when medication is complete."""	8	6-Jul-16	29
59045	Divalproex sodium	Epilepsy	"""I have taken Depakote ER for awhile with Lamictal. I have not had a seizure in 34 months. I do have hair loss and weight gain problem."""	8	16-Jun-09	12
96634	Neurontin	Vulvodynia	"""I stayed on this drug for 5-6 months, but it only helped a little bit.  Was also hard to adjust to, making me very sleepy during the first month."""	3	4-Jan-11	9
9493	Lo Loestrin Fe	Birth Control	"""First three months I spotted almost everyday, then about the fourth month it leveled out...and then I started getting my period twice a month. My mood swings got so bad that I lashed out in rage at my boyfriend for literally nothing. I cry A LOT...and I have weird pains in my breasts in the same spot that never seem to go away. I still have pretty bad cramps when I&#039;m on my period,  so it didn&#039;t help with that. Besides that,  this pill has been reliable and didn&#039;t change my weight,  sex drive,  or give me acne. I didn&#039;t experience nausea or headaches so that was nice. I would recommend any ladies to at least give it a try,  might work for you."""	7	23-May-16	1
147321	Alprazolam	Anxiety	"""Very good. A little drowsiness after panic subsides, though I&#039;m not sure if this is due to a physiological response to subsiding high levels of hormones associated with fight/flight response (e.g., cortisol and adrenaline) involved in panic attacks."""	10	20-Mar-12	14
117281	Robaxin-750	Opiate Withdrawal	"""It works really well. I have bad back pains bad and my spasms get really bad. I take them as the doctor told me to and I feel a lot better now. """	10	16-Jul-10	180
149665	Mirena	Birth Control	"""My Mirena has been nothing but a constant source of frustration for the almost two years I have had it. It is now removed. Most prominently, I have always had severe cramping since inserting it (never before was cramping an issue for me). I never really stopped spotting or ever had regular periods. I developed cervical bruising because of it. Nausea was a daily issue. And most recently, I have attended over 10 doctors appointments including three emergency room visits over the course of the last three months, due to ongoing complications with bacterial infections and ovarian cysts resulting in crippling pain. Never before have I had to deal with any of these issues. """	1	1-May-12	8
115075	Diazepam	Muscle Spasm	"""I suffer from lower back pain. I had a back fusion in November 2013 about 6 months ago I started having really bad back spasms around the area they did the fusion which was my L-5/S-1.  They had me on Flexeril but did not help they tried the Valium and it works. I do not take it every day only when I have the spasms between that and the Percocet it is the only thing that works.  But I only take them as needed."""	9	19-Dec-14	105
89510	Celexa	Depression	"""I have been taking Celexa for 4 years.  All of a sudden, it stopped working and I spent 4 days feeling like I didn&#039;t want to live any more.  I had no idea that my body could build up an immunity and it simply would stop working. """	8	25-Apr-13	74
126893	Thorazine	Light Sedation	"""This will knock you out."""	10	11-Aug-08	32
145550	Qsymia	Weight Loss	"""I have been on qsymia since 7/20/16 &amp; I have lost 48 lbs!!!! I have had little to no side effects."""	10	1-Jan-17	69
51340	Azithromycin	Chlamydia Infection	"""I&#039;ve taken one pill of 250mg so far and I&#039;ve had the feeling of throwing up, as well as my boyfriend. I ate a bit before and after and still had that feeling. So far, it&#039;s been working due to no discharge and smell that I usually had. I also don&#039;t have cramps nor burning while urinating."""	8	18-Apr-15	9
46585	Sulfasalazine	Ulcerative Colitis	"""The only positives I have personally is no side effects and less expensive than other medications for ulcerative colitis. """	1	28-Apr-14	10
13956	Bydureon	"Diabetes, Type 2"	"""I found it to be extremely helpful and love the fact I only have to take it once a week.  I am on my 3rd week now.  The needle size is bigger yes but it does not hurt me to stick myself.  It hurts about the same as poking my finger for my blood sugar meter.  I found through the Bydureon website you can get a card to help with the copay.  Its wonderful to know there are manufacturers that are willing to help those who take their medicines.  Also if you use the freestyle meters you can sign up through Abbot to get a free meter and card to save money on the test strips. """	9	7-Aug-12	38
164518	Diclofenac	Pain	"""Took care of L5 S1 back pain. But the nausea is awful."""	8	6-Apr-12	19
28417	Lexapro	Generalized Anxiety Disorde	"""I had Generalized Anxiety Disorder, Obsessive Compulsive Disorder with intrusive thoughts.  This came out of nowhere and I ended up having to take time off work.  One week of sitting on the sofa crying my eyes out and having repeated panic attacks and thinking I was going crazy I then saw my doc.  She referred me to a psychologist and put me on Lexapro 5mg for 4 days and then up to 10mg.  She also gave me Valium to use sparingly initially till my anxiety dropped.  No change week 1 except day 1 where I felt a feeling of euphoria.  Week 2 had increase in anxiety even a panic attack. End of week 3 and I&#039;m back to my old self.  No more anxiety or intrusive thoughts.  I am doing all the things I use to do. I feel normal again.  Lexapro and seeing a psychologist has done wonders. Super happy."""	10	22-Dec-13	162
122254	Venlafaxine	Hot Flashes	"""I have been taking Effexor XR for approximately 6 months now.  My hot flashes were very severe.  I would be soaked and wet from top of my head down to my legs.  Cold glass of water hardly touched it.  After taking Effexor I only have little sweating around my head and neck maybe two to five times a month.  It is a great relief."""	9	11-Jan-09	87
87810	Naproxen	Pain	"""This medicine does help to a degree, but I do experience break through pain and discomfort. Especially in cold and damp weather, in injury sites from a car accident."""	4	31-Dec-08	5
207791	Suprep Bowel Prep Kit	Bowel Preparation	"""Pleasantly surprised to find that there are an awful lot of drama queens/kings and cry babies on here. The stuff really does not taste all that bad. Started by holding my nose only to end up casually sipping it. Only thing I will say is that you will do yourself a favor to camp out in the bathroom and make yourself as comfortable as possible. Bring laptop, books, Ipad, phone. Your going to be in there for a while. Also a small heater and jacket for when you get some chills. Stay in there for as long as your still going, otherwise I can see how people would have accidents. Good luck!!"""	10	28-Sep-15	23
79449	Plan B One-Step	Emergency Contraception	"""The condom broke during sex, I ejaculated and my girlfriend was ovulating. We purchased Plan B and she took it about 7 hours after the mishap. This was March 19th. We stayed relaxed but as the days went by the tension and the stress kept getting worse for us both, her period didn&#039;t come on the day that it was supposed to so she was losing it! I told her to wait a few days and for our surprise the next day her period arrived on April 3rd. Plan B works, it just requires patience. Be safe out there!"""	10	11-Apr-15	17
