disease,symptom
Pelvic inflammatory disease,Pain in your lower abdomen; Fever; An unusual discharge with a bad odor from your vagina; Pain and/or bleeding when you have sex; Burning sensation when you urinate; or. Bleeding between periods.
Pelvic organ prolapse,a feeling of heaviness around your lower tummy and genitals. a dragging discomfort inside your vagina. feeling like there's something coming down into your vagina – it may feel like sitting on a small ball. feeling or seeing a bulge or lump in or coming out of your vagina
Penile cancer,An area of skin becoming thicker. Changes in the skin color. A lump. An ulcer (sore) that might bleed. A reddish  velvety rash under the foreskin. Small  crusty bumps. Flat  bluish-brown growths. Smelly discharge (fluid) or bleeding under the foreskin.
Peripheral neuropathy, Gradual onset of numbness  prickling or tingling in your feet or hands  which can spread upward into your legs and arms. Sharp  jabbing  throbbing or burning pain. Extreme sensitivity to touch
Personality disorder,Emotional instability rage. sorrow. shame. panic. terror. long-term feelings of emptiness and loneliness.
Pertussis,Runny or stuffed-up nose. Low-grade fever (less than 100.4°F) Mild  occasional cough (babies do not do this) Apnea (life-threatening pauses in breathing) and cyanosis (turning blue or purple) in babies and young children.
Piroplasmosis,fever  loss of appetite  sudden onset of immobility and reluctance to move  and severe lethargy. The fever may subside after 1 day and become intermittent. Other signs include anemia  jaundice and an enlarged spleen and liver.
Plague,fever  chills  extreme weakness  abdominal pain  shock  and possibly bleeding into the skin and other organs
Pleurisy,sharp chest pain when breathing deeply. Sometimes the pain is also felt in the shoulder. The pain may be worse when you cough  sneeze or move around  and it may be relieved by taking shallow breaths. Other symptoms can include shortness of breath and a dry cough
Pneumococcal disease,fever  cough  shortness of breath  chest pain  stiff neck  confusion  increased sensitivity to light  joint pain  chills  ear pain  sleeplessness  and irritability
Pneumonia,a cough – which may be dry  or produce thick yellow  green  brown or blood-stained mucus (phlegm) difficulty breathing – your breathing may be rapid and shallow  and you may feel breathless  even when resting. rapid heartbeat. high temperature. feeling generally unwell. sweating and shivering
Poliomyelitis,Progressive muscle or joint weakness and pain. Fatigue. Muscle wasting (atrophy) Breathing or swallowing problems. Sleep-related breathing disorders  such as sleep apnea. Decreased tolerance of cold temperatures.
Polymyalgia rheumatica,Aches or pain in your shoulders. Aches or pain in your neck  upper arms  buttocks  hips or thighs. Stiffness in affected areas  particularly in the morning or after being inactive for a time. Limited range of motion in affected areas. Pain or stiffness in your wrists  elbows or knees.
Postnatal depression,"feeling sad  low in mood or tearful much of the time feeling agitated or irritable towards your partner  baby or other children loss of interest in the world around you and no longer enjoying things that used to give you pleasure (like you ""cannot be bothered"") lack of energy and feeling tired all the time trouble sleeping at night – you may be awake even when your baby is sleeping feeling very sleepy during the day problems concentrating and making decisions loss of appetite or overeating (comfort eating) negative thoughts such as feeling you are not a good enough mother  you are unable to look after your baby or your baby does not love you feelings of guilt  hopelessness and self-blame feeling anxious that something bad may happen to your baby problems bonding with your baby  no sense of enjoyment in being with them"
Post-polio syndrome,Muscle and joint weakness and pain that gets worse over time. Feeling easily fatigued and exhausted. Losing muscle tissue (atrophy) Breathing or swallowing problems. Sleep-related breathing disorders  such as sleep apnea. Decreased tolerance of cold temperature
Post-traumatic stress disorder (PTSD),Being easily startled or frightened. Always being on guard for danger. Self-destructive behavior  such as drinking too much or driving too fast. Trouble sleeping. Trouble concentrating. Irritability  angry outbursts or aggressive behavior. Overwhelming guilt or shame. 
Pressure ulcers,part of the skin becoming discoloured – people with pale skin tend to get red patches  while people with dark skin tend to get purple or blue patches. discoloured patches not turning white when pressed. a patch of skin that feels warm  spongy or hard. pain or itchiness in the affected area
Prostate cancer,Difficulty starting urination. Weak or interrupted flow of urine. Urinating often  especially at night. Trouble emptying the bladder completely. Pain or burning during urination. Blood in the urine or semen
Psoriasis, dry skin lesions  known as plaques  covered in scales. They normally appear on your elbows  knees  scalp and lower back  but can appear anywhere on your body. The plaques can be itchy or sore  or both. In severe cases  the skin around your joints may crack and bleed
Psoriatic arthritis,Swollen fingers and toes. Psoriatic arthritis can cause a painful  sausage-like swelling of your fingers and toes. Foot pain. ... Lower back pain. ... Nail changes. ... Eye inflammation.
Psychosis,lack empathy – the capacity to understand how someone else feels. are manipulative. often have a total disregard for the consequences of their actions.
Pubic lice,lack empathy – the capacity to understand how someone else feels. are manipulative. often have a total disregard for the consequences of their actions.
Q fever,Fever. Chills or sweats. Fatigue (tiredness) Headache. Muscle aches. Nausea  vomiting  or diarrhea. Chest pain. Stomach pain.
Quintan fever,severe headache  tenderness or pain in the shin  weakness  anorexia or abdominal pain
Rabies,similar to the flu  including weakness or discomfort  fever  or headache. There also may be discomfort  prickling  or an itching sensation at the site of the bite. These symptoms may last for days. Symptoms then progress to cerebral dysfunction  anxiety  confusion  and agitation
Rare tumours,Fatigue. Lump or area of thickening that can be felt under the skin. Weight changes  including unintended loss or gain. Skin changes  such as yellowing  darkening or redness of the skin  sores that won't heal  or changes to existing moles. Changes in bowel or bladder habits. Persistent cough or trouble breathing.
Raynaud's phenomenon,Fingers that turn pale or white then blue when exposed to cold  or during stress or emotional upset  then red when the hands are warmed. Hands that may become swollen and painful when warmed. Sores on the finger pads develop  in severe cases.
Reactive arthritis,Pain and stiffness. The joint pain associated with reactive arthritis most commonly occurs in the knees  ankles and feet. ... Eye inflammation. ... Urinary problems. ... Inflammation of tendons and ligaments where they attach to bone (enthesitis). ... Swollen toes or fingers. ... Skin problems. ... Low back pain.
Restless legs syndrome,People typically describe RLS symptoms as compelling  unpleasant sensations in the legs or feet. They usually happen on both sides of the body. Less commonly  the sensations affect the arms. Nighttime leg twitching. Crawling. Creeping. Pulling. Throbbing. Aching. Itching. Electric.
Retinoblastoma: Children,unusual white reflection in the pupil
Rhabdomyosarcoma,lump or swelling. Other symptoms will depend on the part of the body that's affected by the rhabdomyosarcoma: a tumour in the head or neck area can sometimes cause a blockage (obstruction) and discharge from the nose or throat; occasionally  an eye may appear swollen and protruding
Rheumatoid arthritis,Pain or aching in more than one joint. Stiffness in more than one joint. Tenderness and swelling in more than one joint. The same symptoms on both sides of the body (such as in both hands or both knees) Weight loss. Fever. Fatigue or tiredness. Weakness
Rickettsiosis,Fever Headache Rash (sparse maculopapular or papulovesicular eruptions on the trunk and extremities) Muscle aches
Rift Valley fever, acute influenza-like illness with transient fever  rigor  headache  severe muscle and joint pain  photophobia and anorexia. Occasionally  patients present petaechial rash  nausea  vomiting and epistaxis
Ringworm and other fungal infections,A scaly ring-shaped area  typically on the buttocks  trunk  arms and legs Itchiness A clear or scaly area inside the ring  perhaps with a scattering of bumps whose color ranges from red on white skin to reddish  purplish  brown or gray on black and brown skin Slightly raised  expanding rings A round  flat patch of itchy skin Overlapping rings
Rosacea,Facial redness. This may start as a tendency to flush or blush  but over time redness may persist for longer periods. ... Rash. Areas of facial redness can develop red or pus-filled bumps and pimples that resemble acne. Visible blood vessels. ... Skin thickening. ... Eye irritation.
Rotavirus infection,decreased urination. dry mouth and throat. feeling dizzy when standing up. crying with few or no tears and. unusual sleepiness or fussiness.
Rubella,a low-grade fever. headache. mild pink eye (redness or swelling of the white of the eye) general discomfort. swollen and enlarged lymph nodes. cough. runny nose.
S. pneumoniae,an abrupt onset of fever and shaking or chills. Other symptoms may include headache  cough  chest pain  disorientation  shortness of breath  weakness  and occasionally a stiff neck.
Salmonellosis,diarrhea  fever  and stomach cramps
Sandfly-borne diseases, Some people have a silent infection  without any symptoms or signs. People who develop clinical evidence of infection usually have fever  weight loss  enlargement (swelling) of the spleen and liver  and abnormal blood tests.
Scabies, intense itching and a pimple-like skin rash. The scabies mite usually is spread by direct  prolonged  skin-to-skin contact with a person who has scabies. Scabies is found worldwide and affects people of all races and social classes.
Scarlet fever,Very red  sore throat. Fever (101°F or higher) or chills. Whitish coating on the tongue early in the illness. “Strawberry” (red and bumpy) tongue. Red skin rash that has a sandpaper feel. Bright red skin in the creases of the underarm  elbow  and groin. Swollen glands in the neck.
Schizophrenia,Delusions. These are false beliefs that are not based in reality. ... Hallucinations. These usually involve seeing or hearing things that don't exist. ... Disorganized thinking (speech). Disorganized thinking is inferred from disorganized speech. ... Extremely disorganized or abnormal motor behavior. ... Negative symptoms.
Schmallenberg virus,abortion and stillbirth in ruminants and malformation of offspring
Scoliosis,Uneven shoulders. One shoulder blade that appears more prominent than the other. Uneven waist. One hip higher than the other. One side of the rib cage jutting forward. A prominence on one side of the back when bending forward.
Septic shock,low blood pressure (hypotension) that makes you feel dizzy when you stand up. a change in your mental state  like confusion or disorientation. diarrhoea. nausea and vomiting. cold  clammy and pale skin.
Severe acute respiratory syndrome (SARS),Fever of 100.5 F (38 C) or higher Dry cough Shortness of breath
Sexually transmitted infections,an unusual discharge from the vagina  penis or anus. pain when peeing. lumps or skin growths around the genitals or bottom (anus) a rash. unusual vaginal bleeding. itchy genitals or anus. blisters and sores around your genitals or anus. warts around your genitals or anus.
Shigellosis,Fever. Bloody diarrhea. Severe stomach cramping or tenderness. Dehydration.
Shingles, painful rash that develops on one side of the face or body
Shortness of breath, Difficulty catching your breath. Feeling a need to breathe more quickly or deeply. Not feeling able to take a full  deep breath
Sickle cell disease,Anemia. Sickle cells break apart easily and die. ... Episodes of pain. Periodic episodes of extreme pain  called pain crises  are a major symptom of sickle cell anemia. ... Swelling of hands and feet. ... Frequent infections. ... Delayed growth or puberty. ... Vision problems.
Sindbis fever,sudden onset of fever  headache  and arthralgia (mainly of the smaller joints on hands and feet) 7. During the acute phase  typical symptoms are arthritis  itching rash  fatigue  mild fever  headache  and muscle pain that usually occur within the first 2 days of illness
Sinusitis,pain  swelling and tenderness around your cheeks  eyes or forehead. a blocked nose. a reduced sense of smell. green or yellow mucus from your nose. a sinus headache. a high temperature. toothache. bad breath.
Sjogren's syndrome,dry eyes. a dry mouth. dry skin. tiredness. vaginal dryness. muscle or joint pain. swelling between the jaw and ears (swollen salivary glands) rashes (especially after being in the sun)
Skin cancer (melanoma),colour - a mole may change in colour  have different colour shades or become blotchy. size - a mole may appear to get bigger. shape - a mole may have an irregular shape  may increase in height or not be symmetrical. elevation - the mole may develop a raised area. itching or bleeding
Skin cancer (non-melanoma),appearance of a lump or patch on the skin that doesn't heal after a few weeks. In most cases  cancerous lumps are red and firm  while cancerous patches are often flat and scaly
Slapped cheek syndrome,a slightly high temperature (fever) of around 38C (100.4F) a runny nose. a sore throat. a headache. an upset stomach. feeling generally unwell
Smallpox,A rash starts as small red spots on the tongue and in the mouth High fever. Head and body aches. Sometimes vomiting.
Soft tissue sarcomas,swelling under the skin may cause a painless lump that cannot easily be moved around and gets bigger over time. swelling in the tummy (abdomen) may cause abdominal pain  a persistent feeling of fullness and constipation. swelling near the lungs may cause a cough or breathlessness
Sore throat,Pain or a scratchy sensation in the throat. Pain that worsens with swallowing or talking. Difficulty swallowing. Sore  swollen glands in your neck or jaw. Swollen  red tonsils. White patches or pus on your tonsils. A hoarse or muffled voice
Stillbirth,Stopping of fetal movement and kicks. Spotting or bleeding. No fetal heartbeat heard with stethoscope or Doppler. No fetal movement or heartbeat seen on ultrasound  which makes the definitive diagnosis that a baby is stillborn. Other symptoms may or may not be linked to stillbirth.
Stomach ache and abdominal pain,constipation  irritable bowel syndrome  food allergies  lactose intolerance  food poisoning  and a stomach virus. Other  more serious  causes include appendicitis  an abdominal aortic aneurysm  a bowel blockage  cancer  and gastroesophageal reflux
Stomach cancer,Trouble swallowing. Belly pain. Feeling bloated after eating. Feeling full after eating small amounts of food. Not feeling hungry when you would expect to be hungry. Heartburn. Indigestion. Nausea.
Stomach ulcer,burning or gnawing pain in the centre of the tummy (abdomen). But stomach ulcers aren't always painful and some people may experience other symptoms  such as indigestion  heartburn and acid reflux and feeling sick.
Streptococcus pneumoniae,abrupt onset of fever and shaking or chills. Other symptoms may include headache  cough  chest pain  disorientation  shortness of breath  weakness  and occasionally a stiff neck
Stress ,Diffculty breathing. Panic attacks. Blurred eyesight or sore eyes. Sleep problems. Fatigue. Muscle aches and headaches. Chest pains and high blood pressure. Indigestion or heartburn.
Stroke,Sudden numbness or weakness in the face  arm  or leg  especially on one side of the body. Sudden confusion  trouble speaking  or difficulty understanding speech. Sudden trouble seeing in one or both eyes. Sudden trouble walking  dizziness  loss of balance  or lack of coordination
Sudden infant death syndrome (SIDS),
Sunburn,Inflamed skin  which looks pink or red on white skin and may be harder to see on brown or Black skin. Skin that feels warm or hot to the touch. Pain  tenderness and itching. Swelling. Small  fluid-filled blisters  which may break. Headache  fever  nausea and fatigue  if the sunburn is severe.
Swollen glands,Runny nose  sore throat  or fever (caused by an upper respiratory infection) · Swelling of clusters of lymph
Syphilis,rashes fever swollen lymph nodes. sore throat patchy hair loss headaches weight loss muscle aches fatigue
Syphilis  congenital,Deformed bones  Severe anemia (low blood count)  Enlarged liver and spleen  Jaundice (yellowing of the skin or eyes)  Brain and nerve problems  like blindness or deafness  Meningitis  and. Skin rashes.
Testicular cancer,A lump or swelling in either testicle. A feeling of heaviness in the scrotum. A dull ache in the lower belly or groin. Sudden swelling in the scrotum. Pain or discomfort in a testicle or the scrotum. Enlargement or tenderness of the breast tissue. Back pain.
Testicular lumps and swellings,A sudden and severely painful swelling in one of your testicles can be a sign of a condition called testicular torsion  which is where the blood supply to a testicle is interrupted. In rare cases  testicular lumps can be a sign of testicular cancer.
Tetanus,Painful muscle spasms and stiff  immovable muscles (muscle rigidity) in your jaw. Tension of muscles around your lips  sometimes producing a persistent grin. Painful spasms and rigidity in your neck muscles. Difficulty swallowing. Rigid abdominal muscles.
Thirst,feeling thirsty. dark yellow and strong-smelling pee. peeing little and less than 4 times a day. feeling dizzy or lightheaded. feeling tired. dry mouth  lips and eyes.
Threadworms,itchiness around their bottom or vagina
Thrush,Creamy white lesions on your tongue  inner cheeks  and sometimes on the roof of your mouth  gums and tonsils. Slightly raised lesions with a cottage cheese-like appearance. Redness  burning or soreness that may be severe enough to cause difficulty eating or swallowing
Thyroid cancer,A lump (nodule) that can be felt through the skin on your neck. A feeling that close-fitting shirt collars are becoming too tight. Changes to your voice  including increasing hoarseness. Difficulty swallowing. Swollen lymph nodes in your neck. Pain in your neck and throat
Tick-borne diseases,headache  fatigue  and muscle aches. People with Lyme disease may also have joint pain. Rash. Lyme disease  Southern tick-associated rash illness (STARI)  Rocky Mountain spotted fever (RMSF)  ehrlichiosis  and tularemia can cause distinctive rashes
Tick-borne encephalitis (TBE),Initial symptoms can include fever  headache  vomiting  and weakness. A few days later  severe symptoms can develop including confusion  loss of coordination  difficulty speaking  weakness of the arms or legs  and seizures.
Tick-borne relapsing fever,high fever (e.g.  103° F)  headache  muscle and joint aches. Symptoms can reoccur  producing a telltale pattern of fever lasting roughly 3 days  followed by 7 days without fever  followed by another 3 days of fever. Without antibiotic treatment  this process can repeat several times
Tinnitus,buzzing. Humming
Tonsillitis,high temperature (fever) over 38C (100.4F) coughing. headache. earache. feeling sick. feeling tired. swollen  painful lymph glands in your neck. loss of voice or changes to your voice.
Tooth decay,toothache – either continuous pain keeping you awake or occasional sharp pain without an obvious cause. tooth sensitivity – you may feel tenderness or pain when eating or drinking something hot  cold or sweet. grey  brown or black spots appearing on your teeth. bad breath
Toothache,ooth pain that may be sharp  throbbing  or constant. In some people  pain results only when pressure is applied to the tooth (biting down on something). Swelling around the tooth. Fever or headache. Foul-tasting drainage from the infected tooth. A bad odor from the mouth.
Toscana virus infection,flulike syndrome with fever  photophobia  headache  red eyes  and stiff neck
Toxoplasmosis  congenital,Enlarged liver and spleen. Vomiting. Eye damage from inflammation of the retina or other parts of the eye. Feeding problems. Hearing loss. Jaundice (yellow skin) Low birth weight (intrauterine growth restriction) Skin rash (tiny red spots or bruising) at birth.
Transient ischaemic attack (TIA),Weakness  numbness or paralysis in the face  arm or leg  typically on one side of the body. Slurred or garbled speech or difficulty understanding others. Blindness in one or both eyes or double vision. Vertigo or loss of balance or coordination.
Transverse myelitis,lower back pain or sharp  shooting sensations that radiate down the legs or arms or around the torso. Sensory alterations. Transverse myelitis can causeparesthesias(abnormal sensations such as burning  tickling  pricking  numbness  coldness  or tingling) in the legs  and sensory loss
Trench fever,fever  rash  malaise  and lumbago to bacteremia  endocarditis  and bacillary angiomatosis
Trichinellosis,Nausea  diarrhea  vomiting  fatigue  fever  and abdominal discomfort are often the first symptoms of trichinellosis. Headaches  fevers  chills  cough  swelling of the face and eyes  aching joints and muscle pains  itchy skin  diarrhea  or constipation may follow the first symptoms.
Trichomonas infection,A large amount of a thin  often foul-smelling discharge from the vagina — which might be clear  white  gray  yellow or green. Genital redness  burning and itching. Pain with urination or sex. Discomfort over the lower stomach area.
Trigeminal neuralgia,Episodes of severe  shooting or jabbing pain that may feel like an electric shock. Spontaneous attacks of pain or attacks triggered by things such as touching the face  chewing  speaking or brushing teeth. Attacks of pain lasting from a few seconds to several minutes. Pain that occurs with facial spasms.
Tuberculosis,a persistent cough that lasts more than 3 weeks and usually brings up phlegm  which may be bloody. weight loss. night sweats. high temperature. tiredness and fatigue. loss of appetite. swellings in the neck.
Tularaemia,skin ulcers  swollen and painful lymph glands  inflamed eyes  sore throat  mouth sores  diarrhea or pneumonia. If the bacteria are inhaled  symptoms can include abrupt onset of fever  chills  headache  muscle aches  joint pain  dry cough  and progressive weakness.
Type 1 diabetes,feeling very thirsty. peeing more than usual  particularly at night. feeling very tired. losing weight without trying. thrush that keeps coming back. blurred vision. cuts and grazes that are not healing. fruity-smelling breath.
Type 2 diabetes,Increased thirst. Frequent urination. Increased hunger. Unintended weight loss. Fatigue. Blurred vision. Slow-healing sores. Frequent infections.
Typhoid and paratyphoid fever,Weakness. Stomach pain. Headache. Diarrhea or constipation. Cough. Loss of appetite.
Ulcerative colitis,Diarrhea  often with blood or pus. Rectal bleeding — passing small amount of blood with stool. Abdominal pain and cramping. Rectal pain. Urgency to defecate. Inability to defecate despite urgency. Weight loss. Fatigue.
Underactive thyroid,tiredness. being sensitive to cold. weight gain. constipation. depression. slow movements and thoughts. muscle aches and weakness. muscle cramps.
Urinary incontinence,Leaking urine when coughing  sneezing  laughing  or exercising. Feeling sudden  uncontrollable urges to urinate. Frequent urination. Waking up many times at night to urinate. Urinating during sleep.
Urinary tract infection (UTI),Pain or burning while urinating. Frequent urination. Feeling the need to urinate despite having an empty bladder. Bloody urine. Pressure or cramping in the groin or lower abdomen.
Urticaria (hives),raised  itchy rash that appears on the skin. It may appear on one part of the body or be spread across large areas. The rash is usually very itchy and ranges in size from a few millimetres to the size of a hand.
Vaccine preventable diseases,Initial symptoms include: fever   fatigue   headache  vomiting  stiffness in the neck and pain in the limbs. Polio primarily affects children but can also lead to pa- ralysis in adolescents and adults who are not immune
Vaginal cancer,bleeding from the vagina after the menopause. bleeding after sex or pain during sex. smelly or bloodstained vaginal discharge. bleeding between periods. an itch in your vagina that will not go away. pain when you pee  or needing to pee a lot.
Variant Creutzfeldt-Jakob disease (vCJD),psychiatric problems  behavioral changes  and painful sensations. In the later stages of the illness  patients may exhibit poor coordination  dementia and involuntary movements.
Varicella,rash that turns into itchy  fluid-filled blisters that eventually turn into scabs. The rash may first show up on the chest  back  and face  and then spread over the entire body  including inside the mouth  eyelids  or genital area.
Varicose eczema,itchy and swollen. dry and flaky. scaly or crusty.
Venous leg ulcer,pain  itching and swelling in the affected leg. There may also be discoloured or hardened skin around the ulcer  and the sore may produce a foul-smelling discharge
Vertigo,Problem focusing the eyes. Dizziness. Hearing loss in one or both ears. Loss of balance (may cause falls) Ringing in the ears. Nausea and vomiting  leading to loss of body fluids.
Viral haemorrhagic fever,Fever. Aches and pains  such as severe headache and muscle and joint pain. Weakness and fatigue. Sore throat. Loss of appetite. Gastrointestinal symptoms including abdominal pain  diarrhea  and vomiting. Unexplained hemorrhaging  bleeding or bruising.
Viral hepatitis,fever  fatigue  loss of appetite  nausea  vomiting  abdominal pain  dark urine  light-colored stools  joint pain  and jaundice
Vitamin B12 or folate deficiency anaemia,extreme tiredness (fatigue) lack of energy (lethargy) breathlessness. feeling faint. headaches. pale skin. noticeable heartbeats (palpitations)
Vomiting in adults, Dizziness or fainting · Feeling of fullness after eating small amounts of food · Fever · Headache · Heartburn
Vulval cancer,itching  burning and soreness or pain in the vulva. a lump  sore  swelling or wart-like growth on the vulva. thickened  raised skin patches in the vulva (may be red  white or dark brown) a mole on the vulva that changes shape or colour.
Warts and verrucas,Warts feel firm and rough. ... Warts are usually skin coloured but may appear darker on dark skin. ... Verrucas appear on your feet. ... Some warts are round  flat and can be yellow (plane warts). ... Clusters of warts  spread over an area of skin (mosaic warts) are common on feet and hands.
West Nile virus infection,Most people (8 out of 10) infected with West Nile virus do not develop any symptoms. Febrile illness (fever) in some people. About 1 in 5 people who are infected develop a fever with other symptoms such as headache  body aches  joint pains  vomiting  diarrhea  or rash.
Whooping cough,Runny or stuffed-up nose. Low-grade fever (less than 100.4°F) Mild  occasional cough (babies do not do this) Apnea (life-threatening pauses in breathing) and cyanosis (turning blue or purple) in babies and young children.
Wilms’ tumour,Occasionally  the tumour may bleed slightly and this can irritate the kidney and may be painful. There may be blood in your child's urine (pee)  or their blood pressure may be raised. The child may also have a high temperature (fever)  upset stomach  weight loss or a lack of appetite
Womb (uterus) cancer,a lump or swelling in your tummy or between your hip bones (pelvis) pain in your lower back or between your hip bones (pelvis) pain during sex. blood in your pee.
Yellow fever,fever  chills  headache  backache  and muscle aches 3–6 days after they are infected. About 12% of people who have symptoms go on to develop serious illness: jaundice  bleeding  shock  organ failure  and sometimes death
Yersiniosis,fever  abdominal pain  and diarrhea  which is often bloody. In older children and adults  right-sided abdominal pain and fever may be confused with symptoms of appendicitis. In a small proportion of cases  complications such as skin rash  joint pains  or a blood infection can occur.
Zika virus disease,Zika are fever  rash  headache  joint pain  red eyes  and muscle pain. Zika is spread mostly by the bite of an infected mosquito. Prevent Zika by avoiding mosquito bites. Zika can cause birth defects and is linked to Guillain-Barré syndrome
Zoonosis,Diarrhea (can be severe) Abdominal cramps Poor appetite Nausea Vomiting Pain
